Simulation,Portfolio Size,Return (%),Sharpe Ratio,Portfolio
78,3,29.9766139504392,0.8046251740022212,"{'EGO': 0.962764771988791, 'NOK': 0.013889612468649991, 'WBD': 0.023345615542559078}"
79,10,35.91455914906031,1.4651919588961653,"{'INTC': 0.05841380208250077, 'TSLA': 0.2404164187422333, 'AAPL': 0.044402465880311826, 'AMD': 0.12931009992446627, 'PBR': 0.23882184504985454, 'LYFT': 0.0018685821235475176, 'WBD': 0.029930558887148514, 'EGO': 0.12924186140054117, 'AAL': 0.12128351666421705, 'JD': 0.006310849245179153}"
80,8,66.10714150520154,2.2792342438084674,"{'SOFI': 0.13035748847097148, 'T': 0.07546131694180974, 'META': 0.23233021225101141, 'KO': 0.03332915299122674, 'EGO': 0.08403521680963127, 'SNAP': 0.05063909500438452, 'HOOD': 0.32948641066136763, 'XOM': 0.0643611068695972}"
81,4,59.82802977244579,1.161501089264033,"{'NIO': 0.043469548554555856, 'KO': 0.08506139700583319, 'SOFI': 0.7961771922673819, 'SNAP': 0.0752918621722291}"
82,12,27.976251495693095,1.0621801409494762,"{'KO': 0.0557089020585925, 'INTC': 0.04269941915703197, 'DIS': 0.0034920427464039472, 'JD': 0.06901471362028302, 'AMD': 0.19803448038321753, 'SOFI': 0.225946600429567, 'EGO': 0.11906671959345404, 'BABA': 0.002867854144639381, 'NOK': 0.1078885783296001, 'LCID': 0.03370184107739978, 'F': 0.12521355122396322, 'AAPL': 0.016365297235847565}"
83,5,50.1553969493697,0.8583747622174122,"{'BABA': 0.011746427085863606, 'AAPL': 0.03519776376029597, 'CCL': 0.4393054731200595, 'LCID': 0.059421963395062054, 'LUMN': 0.4543283726387188}"
84,6,84.40736508310758,1.5551105347931484,"{'PYPL': 0.040582002754503896, 'SHOP': 0.26899190034071696, 'PBR': 0.005228101017636899, 'COIN': 0.5231873930090554, 'INTC': 0.05067543756907394, 'NFLX': 0.1113351653090129}"
85,4,84.10160678466332,2.054807572781533,"{'DNA': 0.07469963969852045, 'DIS': 0.09329815328757396, 'XOM': 0.061029615348504505, 'NVDA': 0.7709725916654011}"
86,5,49.67530230920988,1.3790557237034224,"{'JPM': 0.1272538908344611, 'PLUG': 0.022184668793942697, 'EGO': 0.2216078470422256, 'XOM': 0.10526536570555255, 'SOFI': 0.5236882276238182}"
87,6,21.627510224460554,1.1689528354143404,"{'AAPL': 0.21302400046557346, 'MSFT': 0.40378010750209004, 'LCID': 0.0030108144919712932, 'DIS': 0.07058863535809579, 'AAL': 0.24460084131833607, 'BABA': 0.0649956008639333}"
88,7,67.88940846403676,1.7692789802040438,"{'PLTR': 0.4451213924520588, 'PFE': 0.030398735242312725, 'KO': 0.12710816382942755, 'RIVN': 0.16340183774869388, 'JD': 0.05283382675257866, 'BAC': 0.06918085037284327, 'C': 0.11195519360208497}"
89,6,63.574429391507856,1.5691740711761526,"{'PLTR': 0.4654767402062242, 'DIS': 0.03351419596233459, 'JD': 0.012187834609598023, 'WBD': 0.07086341068796215, 'DNA': 0.0376159762978477, 'F': 0.3803418422360333}"
90,7,12.617335656963865,0.6485906797056912,"{'T': 0.00023820696554837162, 'WBD': 0.10768889136129974, 'VALE': 0.1346073989803465, 'VZ': 0.06931778154603767, 'PLUG': 0.03761452878592369, 'MSFT': 0.5920115914814007, 'LCID': 0.05852160087944337}"
91,10,33.151452248723054,1.632307289286484,"{'DNA': 0.014716681149727576, 'JPM': 0.16720056619960716, 'HOOD': 0.21811852235686566, 'F': 0.06136732672206502, 'AAPL': 0.20845808898889268, 'VALE': 0.06202820884378156, 'DIS': 0.014747697061467833, 'T': 0.14112475691388246, 'PFE': 0.0658689761512251, 'LYFT': 0.046369175612484985}"
92,4,53.21714680993755,1.093011086505359,"{'AAL': 0.10932663780896464, 'NOK': 0.008897788291587333, 'PBR': 0.030959839623925293, 'SHOP': 0.8508157342755227}"
93,6,96.54715740801876,2.107630632507946,"{'NOK': 0.06350746865011059, 'EGO': 0.040460616764324935, 'PBR': 0.09214026500013216, 'CSCO': 0.14271584621949096, 'PLTR': 0.6520046102925192, 'LCID': 0.009171193073422111}"
94,7,67.27591030197593,1.3894106264983823,"{'WBD': 0.16487797806784435, 'SNAP': 0.011073155783801681, 'AAPL': 0.03548470941758826, 'BAC': 0.0072925321715849025, 'COIN': 0.376954185886245, 'SHOP': 0.383364586086487, 'PLUG': 0.020952852586448797}"
95,8,83.9550557460074,2.050522765023433,"{'VZ': 0.013542602563422981, 'PINS': 0.13605214862745066, 'CSCO': 0.07817660316968583, 'MSFT': 0.06555338166752094, 'AMD': 0.015996450251031965, 'NVDA': 0.32242720910379324, 'COIN': 0.3414560253065043, 'T': 0.026795579310590092}"
96,11,65.72657698257207,1.9831612179420703,"{'CSCO': 0.021041543640994895, 'META': 0.24522829083733474, 'LUMN': 0.14243047569003084, 'DIS': 0.02409956545883953, 'HOOD': 0.21377111836647394, 'RIVN': 0.04017395316240146, 'NU': 0.18411360820819955, 'F': 0.00802438864977483, 'SOFI': 0.010512673074204948, 'UBER': 0.04638613985751148, 'LYFT': 0.0642182430542337}"
